CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
c5662b472df2   cloud_publisher          0.00%     47.05MiB / 31.35GiB   0.15%     2.28MB / 35.8kB   0B / 0B     21
38b1dc53babf   case2-edgeIoTDevSim-20   0.00%     46.79MiB / 500MiB     9.36%     2.28MB / 24.3kB   0B / 0B     21
caa7915fbbc2   edge_subscriber          0.11%     50.61MiB / 31.35GiB   0.16%     2.28MB / 29.6kB   0B / 0B     21
007e18a28be3   cloud_broker             0.00%     62.38MiB / 31.35GiB   0.19%     2.28MB / 26.6kB   0B / 0B     21
1c594848236f   case2-edgeIoTDevSim-2    0.00%     48.88MiB / 500MiB     9.78%     2.28MB / 24.8kB   0B / 0B     21
bf1e6bccbfef   case2-edgeIoTDevSim-13   0.00%     49.3MiB / 500MiB      9.86%     2.27MB / 25.4kB   0B / 0B     21
185e48e832bc   edge_broker              0.48%     66.95MiB / 31.35GiB   0.21%     2.3MB / 38kB      0B / 0B     21
6d60d25435f9   cloud_client             0.00%     47.71MiB / 31.35GiB   0.15%     2.28MB / 26.7kB   0B / 0B     21
031b705475a7   case2-mongodb-1          0.34%     72.91MiB / 31.35GiB   0.23%     6.17kB / 4.31kB   0B / 0B     38
CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
4add4c9dae73   edge_data_manager        0.08%     63.96MiB / 31.35GiB   0.20%     2.28MB / 31.4kB   0B / 0B     31
a8cafe55cf25   cloud_server             0.00%     63.89MiB / 31.35GiB   0.20%     2.28MB / 27.4kB   0B / 0B     31
20fe185f5d22   case2-edgeIoTDevSim-19   0.00%     49.21MiB / 500MiB     9.84%     2.28MB / 28.7kB   0B / 0B     21
ed71117b4ac1   case2-edgeIoTDevSim-17   0.00%     49.22MiB / 500MiB     9.84%     2.28MB / 28.1kB   0B / 0B     21
2c0773368753   case2-edgeIoTDevSim-3    0.00%     44.84MiB / 500MiB     8.97%     2.28MB / 26.5kB   0B / 0B     21
78eb8c0e2397   case2-edgeIoTDevSim-14   0.00%     47.27MiB / 500MiB     9.45%     2.28MB / 24.6kB   0B / 0B     21
c4790df7465f   case2-edgeIoTDevSim-10   0.00%     46.95MiB / 500MiB     9.39%     2.28MB / 24.5kB   0B / 0B     21
030bd7098d16   case2-edgeIoTDevSim-4    0.05%     49.43MiB / 500MiB     9.89%     2.28MB / 24.7kB   0B / 0B     21
faa093c0e020   case2-edgeIoTDevSim-5    0.06%     49.27MiB / 500MiB     9.85%     2.28MB / 26.6kB   0B / 0B     21
057b9f80db1b   case2-edgeIoTDevSim-15   0.00%     47.34MiB / 500MiB     9.47%     2.28MB / 26.6kB   0B / 0B     21
90dde046e08c   case2-edgeIoTDevSim-11   0.00%     47.14MiB / 500MiB     9.43%     2.28MB / 25.4kB   0B / 0B     21
7e863f54b1ae   case2-edgeIoTDevSim-9    0.00%     48.98MiB / 500MiB     9.80%     2.28MB / 28.9kB   0B / 0B     21
3cc74185ef04   case2-edgeIoTDevSim-6    0.00%     44.91MiB / 500MiB     8.98%     2.28MB / 26.6kB   0B / 0B     21
478f21463995   case2-edgeIoTDevSim-16   0.00%     45.21MiB / 500MiB     9.04%     2.28MB / 23.2kB   0B / 0B     21
a4eea0cf402a   case2-edgeIoTDevSim-8    0.00%     46.86MiB / 500MiB     9.37%     2.27MB / 26kB     0B / 0B     21
e4fe3bab88fc   case2-edgeIoTDevSim-1    0.00%     47.06MiB / 500MiB     9.41%     2.28MB / 26.3kB   0B / 0B     21
ce666b62e3bf   case2-edgeIoTDevSim-18   0.00%     49.08MiB / 500MiB     9.82%     2.28MB / 24.2kB   0B / 0B     21
2f346f57cad8   edge_iot_smart_dev       0.14%     47.71MiB / 31.35GiB   0.15%     2.28MB / 30.7kB   0B / 0B     21
76ca415ccc11   case2-edgeIoTDevSim-12   0.00%     53.2MiB / 500MiB      10.64%    2.28MB / 24.2kB   0B / 0B     21
c03ada9682ff   case2-edgeIoTDevSim-7    0.00%     48.96MiB / 500MiB     9.79%     2.27MB / 25.5kB   0B / 0B     21
c5662b472df2   cloud_publisher          0.00%     47.07MiB / 31.35GiB   0.15%     2.28MB / 36kB     0B / 0B     21
38b1dc53babf   case2-edgeIoTDevSim-20   0.05%     46.8MiB / 500MiB      9.36%     2.28MB / 24.5kB   0B / 0B     21
caa7915fbbc2   edge_subscriber          0.10%     50.79MiB / 31.35GiB   0.16%     2.28MB / 30.1kB   0B / 0B     21
007e18a28be3   cloud_broker             0.00%     62.4MiB / 31.35GiB    0.19%     2.28MB / 26.7kB   0B / 0B     21
1c594848236f   case2-edgeIoTDevSim-2    0.06%     48.9MiB / 500MiB      9.78%     2.28MB / 25kB     0B / 0B     21
bf1e6bccbfef   case2-edgeIoTDevSim-13   0.00%     49.3MiB / 500MiB      9.86%     2.27MB / 25.4kB   0B / 0B     21
185e48e832bc   edge_broker              0.61%     66.52MiB / 31.35GiB   0.21%     2.3MB / 40.4kB    0B / 0B     21
6d60d25435f9   cloud_client             0.00%     47.71MiB / 31.35GiB   0.15%     2.28MB / 26.7kB   0B / 0B     21
031b705475a7   case2-mongodb-1          0.68%     73.04MiB / 31.35GiB   0.23%     6.48kB / 4.74kB   0B / 0B     38
CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
4add4c9dae73   edge_data_manager        0.00%     63.96MiB / 31.35GiB   0.20%     2.28MB / 31.4kB   0B / 0B     31
a8cafe55cf25   cloud_server             0.00%     63.89MiB / 31.35GiB   0.20%     2.28MB / 27.4kB   0B / 0B     31
20fe185f5d22   case2-edgeIoTDevSim-19   0.00%     49.23MiB / 500MiB     9.85%     2.28MB / 28.9kB   0B / 0B     21
ed71117b4ac1   case2-edgeIoTDevSim-17   0.04%     49.24MiB / 500MiB     9.85%     2.28MB / 28.3kB   0B / 0B     21
2c0773368753   case2-edgeIoTDevSim-3    0.05%     45.11MiB / 500MiB     9.02%     2.28MB / 26.7kB   0B / 0B     21
78eb8c0e2397   case2-edgeIoTDevSim-14   0.00%     47.27MiB / 500MiB     9.45%     2.28MB / 24.6kB   0B / 0B     21
c4790df7465f   case2-edgeIoTDevSim-10   0.00%     46.95MiB / 500MiB     9.39%     2.28MB / 24.5kB   0B / 0B     21
030bd7098d16   case2-edgeIoTDevSim-4    0.00%     49.43MiB / 500MiB     9.89%     2.28MB / 24.7kB   0B / 0B     21
faa093c0e020   case2-edgeIoTDevSim-5    0.00%     49.27MiB / 500MiB     9.85%     2.28MB / 26.6kB   0B / 0B     21
057b9f80db1b   case2-edgeIoTDevSim-15   0.00%     47.36MiB / 500MiB     9.47%     2.28MB / 26.8kB   0B / 0B     21
90dde046e08c   case2-edgeIoTDevSim-11   0.00%     47.16MiB / 500MiB     9.43%     2.28MB / 25.6kB   0B / 0B     21
7e863f54b1ae   case2-edgeIoTDevSim-9    0.00%     49MiB / 500MiB        9.80%     2.28MB / 29.1kB   0B / 0B     21
3cc74185ef04   case2-edgeIoTDevSim-6    0.00%     44.93MiB / 500MiB     8.99%     2.28MB / 26.8kB   0B / 0B     21
478f21463995   case2-edgeIoTDevSim-16   0.00%     45.23MiB / 500MiB     9.05%     2.28MB / 23.4kB   0B / 0B     21
a4eea0cf402a   case2-edgeIoTDevSim-8    0.05%     46.88MiB / 500MiB     9.38%     2.28MB / 26.2kB   0B / 0B     21
e4fe3bab88fc   case2-edgeIoTDevSim-1    0.05%     47.07MiB / 500MiB     9.41%     2.28MB / 26.5kB   0B / 0B     21
ce666b62e3bf   case2-edgeIoTDevSim-18   0.06%     49.09MiB / 500MiB     9.82%     2.28MB / 24.4kB   0B / 0B     21
2f346f57cad8   edge_iot_smart_dev       0.14%     47.84MiB / 31.35GiB   0.15%     2.28MB / 30.7kB   0B / 0B     21
76ca415ccc11   case2-edgeIoTDevSim-12   0.00%     53.2MiB / 500MiB      10.64%    2.28MB / 24.2kB   0B / 0B     21
c03ada9682ff   case2-edgeIoTDevSim-7    0.00%     48.96MiB / 500MiB     9.79%     2.27MB / 25.5kB   0B / 0B     21
c5662b472df2   cloud_publisher          0.06%     47.09MiB / 31.35GiB   0.15%     2.28MB / 36.2kB   0B / 0B     21
38b1dc53babf   case2-edgeIoTDevSim-20   0.00%     46.8MiB / 500MiB      9.36%     2.28MB / 24.5kB   0B / 0B     21
caa7915fbbc2   edge_subscriber          0.18%     50.95MiB / 31.35GiB   0.16%     2.29MB / 30.5kB   0B / 0B     21
007e18a28be3   cloud_broker             0.05%     62.42MiB / 31.35GiB   0.19%     2.28MB / 26.8kB   0B / 0B     21
1c594848236f   case2-edgeIoTDevSim-2    0.00%     48.9MiB / 500MiB      9.78%     2.28MB / 25kB     0B / 0B     21
bf1e6bccbfef   case2-edgeIoTDevSim-13   0.00%     49.57MiB / 500MiB     9.91%     2.27MB / 25.6kB   0B / 0B     21
185e48e832bc   edge_broker              1.05%     66.81MiB / 31.35GiB   0.21%     2.3MB / 42.4kB    0B / 0B     21
6d60d25435f9   cloud_client             0.00%     47.71MiB / 31.35GiB   0.15%     2.28MB / 26.7kB   0B / 0B     21
031b705475a7   case2-mongodb-1          0.34%     73.04MiB / 31.35GiB   0.23%     6.8kB / 5.18kB    0B / 0B     38
CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
4add4c9dae73   edge_data_manager        0.00%     63.97MiB / 31.35GiB   0.20%     2.28MB / 31.7kB   0B / 0B     31
a8cafe55cf25   cloud_server             0.00%     63.91MiB / 31.35GiB   0.20%     2.28MB / 27.7kB   0B / 0B     31
20fe185f5d22   case2-edgeIoTDevSim-19   0.00%     49.23MiB / 500MiB     9.85%     2.28MB / 28.9kB   0B / 0B     21
ed71117b4ac1   case2-edgeIoTDevSim-17   0.00%     49.24MiB / 500MiB     9.85%     2.28MB / 28.3kB   0B / 0B     21
2c0773368753   case2-edgeIoTDevSim-3    0.00%     45.11MiB / 500MiB     9.02%     2.28MB / 26.7kB   0B / 0B     21
78eb8c0e2397   case2-edgeIoTDevSim-14   0.00%     47.28MiB / 500MiB     9.46%     2.28MB / 24.8kB   0B / 0B     21
c4790df7465f   case2-edgeIoTDevSim-10   0.00%     47.21MiB / 500MiB     9.44%     2.28MB / 24.7kB   0B / 0B     21
030bd7098d16   case2-edgeIoTDevSim-4    0.00%     49.45MiB / 500MiB     9.89%     2.28MB / 24.9kB   0B / 0B     21
faa093c0e020   case2-edgeIoTDevSim-5    0.00%     49.29MiB / 500MiB     9.86%     2.28MB / 26.8kB   0B / 0B     21
057b9f80db1b   case2-edgeIoTDevSim-15   0.00%     47.36MiB / 500MiB     9.47%     2.28MB / 26.8kB   0B / 0B     21
90dde046e08c   case2-edgeIoTDevSim-11   0.05%     47.17MiB / 500MiB     9.43%     2.28MB / 25.8kB   0B / 0B     21
7e863f54b1ae   case2-edgeIoTDevSim-9    0.05%     49.02MiB / 500MiB     9.80%     2.28MB / 29.3kB   0B / 0B     21
3cc74185ef04   case2-edgeIoTDevSim-6    0.00%     44.93MiB / 500MiB     8.99%     2.28MB / 26.8kB   0B / 0B     21
478f21463995   case2-edgeIoTDevSim-16   0.00%     45.23MiB / 500MiB     9.05%     2.28MB / 23.4kB   0B / 0B     21
a4eea0cf402a   case2-edgeIoTDevSim-8    0.00%     46.88MiB / 500MiB     9.38%     2.28MB / 26.2kB   0B / 0B     21
e4fe3bab88fc   case2-edgeIoTDevSim-1    0.00%     47.07MiB / 500MiB     9.41%     2.28MB / 26.5kB   0B / 0B     21
ce666b62e3bf   case2-edgeIoTDevSim-18   0.00%     49.09MiB / 500MiB     9.82%     2.28MB / 24.4kB   0B / 0B     21
2f346f57cad8   edge_iot_smart_dev       0.16%     47.96MiB / 31.35GiB   0.15%     2.28MB / 30.7kB   0B / 0B     21
76ca415ccc11   case2-edgeIoTDevSim-12   0.00%     53.22MiB / 500MiB     10.64%    2.28MB / 24.4kB   0B / 0B     21
c03ada9682ff   case2-edgeIoTDevSim-7    0.00%     48.98MiB / 500MiB     9.80%     2.27MB / 25.7kB   0B / 0B     21
c5662b472df2   cloud_publisher          0.00%     47.09MiB / 31.35GiB   0.15%     2.28MB / 36.2kB   0B / 0B     21
38b1dc53babf   case2-edgeIoTDevSim-20   0.00%     46.82MiB / 500MiB     9.36%     2.28MB / 24.7kB   0B / 0B     21
caa7915fbbc2   edge_subscriber          0.10%     51.03MiB / 31.35GiB   0.16%     2.29MB / 30.7kB   0B / 0B     21
007e18a28be3   cloud_broker             0.00%     62.42MiB / 31.35GiB   0.19%     2.28MB / 26.8kB   0B / 0B     21
