CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
f3bd22322c44   case2-edgeIoTDevSim-98    0.00%     46.73MiB / 500MiB     9.35%     2.28MB / 26.5kB   0B / 0B     21
a1f98b6e6dae   case2-edgeIoTDevSim-70    0.00%     47.09MiB / 500MiB     9.42%     2.28MB / 32.7kB   0B / 0B     21
11bf62ba8973   case2-edgeIoTDevSim-11    0.00%     45.02MiB / 500MiB     9.00%     2.28MB / 43.7kB   0B / 0B     21
40f383ceef03   case2-edgeIoTDevSim-27    0.00%     46.96MiB / 500MiB     9.39%     2.28MB / 27.2kB   0B / 0B     21
66cdf6be2034   case2-edgeIoTDevSim-65    0.00%     45.1MiB / 500MiB      9.02%     2.28MB / 26.9kB   0B / 0B     21
5979a48ae94b   case2-edgeIoTDevSim-87    0.00%     47.09MiB / 500MiB     9.42%     2.28MB / 29.7kB   0B / 0B     21
63c544253bf5   case2-edgeIoTDevSim-92    0.05%     47.04MiB / 500MiB     9.41%     2.28MB / 29.2kB   0B / 0B     21
7399eb236545   case2-edgeIoTDevSim-88    0.05%     44.93MiB / 500MiB     8.99%     2.28MB / 26.1kB   0B / 0B     21
fc77a0c67c3f   case2-edgeIoTDevSim-83    0.07%     49.18MiB / 500MiB     9.84%     2.28MB / 28.7kB   0B / 0B     21
cb1f9284ad66   case2-edgeIoTDevSim-39    0.00%     47.13MiB / 500MiB     9.43%     2.28MB / 27.6kB   0B / 0B     21
8b3a4ef4dd05   case2-edgeIoTDevSim-16    0.00%     47.13MiB / 500MiB     9.43%     2.28MB / 29.5kB   0B / 0B     21
f4518e361509   case2-edgeIoTDevSim-15    0.00%     48.81MiB / 500MiB     9.76%     2.28MB / 27.7kB   0B / 0B     21
edd646ce766c   edge_subscriber           1.24%     45.52MiB / 31.35GiB   0.14%     2.33MB / 39.1kB   0B / 0B     21
9ee6bc4dce28   case2-edgeIoTDevSim-14    0.00%     44.8MiB / 500MiB      8.96%     2.28MB / 29kB     0B / 0B     21
58a5463c98a0   edge_iot_smart_dev        0.11%     46.29MiB / 31.35GiB   0.14%     2.28MB / 23.7kB   0B / 0B     21
97a7a87d221c   case2-edgeIoTDevSim-53    0.00%     45.03MiB / 500MiB     9.01%     2.28MB / 26.1kB   0B / 0B     21
8ff02737d191   case2-edgeIoTDevSim-7     0.00%     45.29MiB / 500MiB     9.06%     2.28MB / 29.8kB   0B / 0B     21
879dd653ca6a   case2-edgeIoTDevSim-78    0.00%     47.08MiB / 500MiB     9.42%     2.28MB / 26.8kB   0B / 0B     21
864e96d6c508   case2-edgeIoTDevSim-4     0.00%     46.78MiB / 500MiB     9.36%     2.28MB / 27.8kB   0B / 0B     21
2b85cab6aca2   case2-edgeIoTDevSim-97    0.00%     48.96MiB / 500MiB     9.79%     2.28MB / 26.3kB   0B / 0B     21
c7f366e3ff83   case2-edgeIoTDevSim-81    0.00%     46.87MiB / 500MiB     9.37%     2.28MB / 26.9kB   0B / 0B     21
eb66e3b364ca   case2-edgeIoTDevSim-10    0.28%     46.91MiB / 500MiB     9.38%     2.28MB / 31.5kB   0B / 0B     21
b5130f947c71   case2-edgeIoTDevSim-57    0.27%     44.94MiB / 500MiB     8.99%     2.28MB / 27.8kB   0B / 0B     21
6a0c2465de71   case2-edgeIoTDevSim-6     0.29%     44.96MiB / 500MiB     8.99%     2.28MB / 27.2kB   0B / 0B     21
