CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
241ae7d4d3f7   case2-edgeIoTDevSim-7    0.00%     47.55MiB / 500MiB     9.51%     2.28MB / 28.2kB   0B / 0B     21
689edfc69bdc   case2-edgeIoTDevSim-2    0.00%     45.27MiB / 500MiB     9.05%     2.28MB / 32.4kB   0B / 0B     21
11b4407dfcde   edge_iot_smart_dev       0.09%     46.02MiB / 31.35GiB   0.14%     2.28MB / 23.9kB   0B / 0B     21
7e88f505be46   cloud_client             0.00%     49.91MiB / 31.35GiB   0.16%     2.29MB / 38.1kB   0B / 0B     21
48be0e4c8bc2   case2-edgeIoTDevSim-10   0.00%     45.34MiB / 500MiB     9.07%     2.28MB / 26.2kB   0B / 0B     21
9a497dab47a2   case2-edgeIoTDevSim-6    0.00%     44.91MiB / 500MiB     8.98%     2.28MB / 30kB     0B / 0B     21
1ceb45582594   case2-edgeIoTDevSim-1    0.04%     49.61MiB / 500MiB     9.92%     2.28MB / 28.4kB   0B / 0B     21
dd9be776cc1e   case2-edgeIoTDevSim-5    0.04%     47.15MiB / 500MiB     9.43%     2.28MB / 28.3kB   0B / 0B     21
e89b3394e316   case2-edgeIoTDevSim-9    0.05%     49.11MiB / 500MiB     9.82%     2.28MB / 27.1kB   0B / 0B     21
c9d0b05ec6e2   edge_broker              0.35%     64.77MiB / 31.35GiB   0.20%     2.3MB / 38.9kB    0B / 0B     21
ab4df2c66ea7   cloud_publisher          0.00%     46.93MiB / 31.35GiB   0.15%     2.28MB / 25.4kB   0B / 0B     21
faf377dfbef9   cloud_broker             0.00%     60.67MiB / 31.35GiB   0.19%     2.28MB / 25.9kB   0B / 0B     21
e5e09e8c1780   case2-edgeIoTDevSim-4    0.00%     44.86MiB / 500MiB     8.97%     2.28MB / 26.3kB   0B / 0B     21
84e56a769709   case2-mongodb-1          0.28%     74.39MiB / 31.35GiB   0.23%     32.1kB / 22.1kB   0B / 0B     42
ab95e721fd5b   case2-edgeIoTDevSim-8    0.00%     47MiB / 500MiB        9.40%     2.28MB / 27.7kB   0B / 0B     21
23bd8630a89b   edge_subscriber          0.10%     50.38MiB / 31.35GiB   0.16%     2.29MB / 29.6kB   0B / 0B     21
CONTAINER ID   NAME                     CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O   PIDS
a9bcf1248b2f   edge_data_manager        0.06%     67.4MiB / 31.35GiB    0.21%     2.32MB / 74.5kB   0B / 0B     31
90306ecf2c61   cloud_server             0.00%     68.83MiB / 31.35GiB   0.21%     2.29MB / 41.2kB   0B / 0B     31
7dec0ad70404   case2-edgeIoTDevSim-3    0.00%     47.04MiB / 500MiB     9.41%     2.28MB / 28kB     0B / 0B     21
241ae7d4d3f7   case2-edgeIoTDevSim-7    0.00%     47.57MiB / 500MiB     9.51%     2.28MB / 28.4kB   0B / 0B     21
689edfc69bdc   case2-edgeIoTDevSim-2    0.00%     45.29MiB / 500MiB     9.06%     2.28MB / 32.6kB   0B / 0B     21
11b4407dfcde   edge_iot_smart_dev       0.10%     46.2MiB / 31.35GiB    0.14%     2.28MB / 23.9kB   0B / 0B     21
7e88f505be46   cloud_client             0.00%     49.92MiB / 31.35GiB   0.16%     2.29MB / 38.4kB   0B / 0B     21
48be0e4c8bc2   case2-edgeIoTDevSim-10   0.04%     45.35MiB / 500MiB     9.07%     2.28MB / 26.5kB   0B / 0B     21
